date_time,category,account,amount,currency,tags
2025-08-28 00:00:00,Second work,acct_1,547.0,BYN,2th_work
2025-08-27 00:00:00,Job,acct_2,26.0,BYN,tag_8
2025-08-26 00:00:00,Job,acct_1,23.0,BYN,tag_2
2025-08-26 00:00:00,Job,acct_1,38.0,BYN,tag_1
2025-08-25 00:00:00,Job,acct_1,33.0,BYN,tag_8
2025-08-25 00:00:00,Job,acct_1,40.0,BYN,tag_3
2025-08-22 00:00:00,Second work,acct_1,226.0,BYN,2th_work
2025-08-22 00:00:00,Job,acct_1,12.0,BYN,tag_1
2025-08-22 00:00:00,Job,acct_1,36.0,BYN,tag_2
2025-08-22 00:00:00,Job,acct_2,39.0,BYN,tag_8
2025-08-21 00:00:00,Gift,acct_1,21.0,BYN,tag_4
2025-08-20 00:00:00,Job,acct_2,48.0,BYN,tag_8
2025-08-20 00:00:00,Job,acct_1,24.0,BYN,tag_1
2025-08-18 00:00:00,Job,acct_1,25.0,BYN,tag_3
2025-08-18 00:00:00,Deposit interest,acct_4,88.0,BYN,tag_4
2025-08-16 00:00:00,Second work,acct_1,167.0,BYN,2th_work
2025-08-15 00:00:00,Job,acct_1,31.0,BYN,tag_8
2025-08-15 00:00:00,Job,acct_1,48.0,BYN,tag_1
2025-08-15 00:00:00,Job,acct_1,40.0,BYN,tag_2
2025-08-14 00:00:00,Second work,acct_1,75.0,BYN,2th_work
2025-08-14 00:00:00,Second work,acct_1,141.0,BYN,2th_work
2025-08-13 00:00:00,Job,acct_1,47.0,BYN,tag_8
2025-08-12 00:00:00,Job,acct_1,23.0,BYN,tag_1
2025-08-11 00:00:00,Job,acct_1,25.0,BYN,tag_8
2025-08-10 00:00:00,Debt return / Borrowed money,acct_1,79.0,BYN,tag_4
2025-08-08 00:00:00,Job,acct_1,11.0,BYN,tag_2
2025-08-08 00:00:00,Job,acct_1,13.0,BYN,tag_1
2025-08-05 00:00:00,Job,acct_1,13.0,BYN,tag_1
2025-08-04 00:00:00,Job,acct_1,50.0,BYN,tag_8
2025-08-04 00:00:00,Job,acct_1,46.0,BYN,tag_3
2025-08-03 00:00:00,Second work,acct_1,105.0,BYN,2th_work
2025-08-02 00:00:00,Second work,acct_1,599.0,BYN,2th_work
2025-08-01 00:00:00,Job,acct_1,27.0,BYN,tag_2
2025-08-01 00:00:00,Job,acct_1,15.0,BYN,tag_8
2025-07-30 00:00:00,Job,acct_1,15.0,BYN,tag_8
2025-07-29 00:00:00,Cashback,acct_2,65.0,BYN,tag_4
2025-07-27 00:00:00,Second work,acct_1,200.0,BYN,2th_work
2025-07-22 00:00:00,Job,acct_1,37.0,BYN,tag_1
2025-07-21 00:00:00,Gift,acct_1,26.0,BYN,tag_4
2025-07-21 00:00:00,Job,acct_1,21.0,BYN,tag_8
2025-07-20 00:00:00,Second work,acct_1,303.0,BYN,2th_work
2025-07-19 00:00:00,Second work,acct_1,130.0,BYN,2th_work
2025-07-18 00:00:00,Job,acct_1,45.0,BYN,tag_1
2025-07-18 00:00:00,Job,acct_1,30.0,BYN,tag_2
2025-07-16 00:00:00,Job,acct_1,27.0,BYN,tag_1
2025-07-16 00:00:00,Second work,acct_1,104.0,BYN,2th_work
2025-07-15 00:00:00,Job,acct_1,87.0,BYN,tag_8
2025-07-11 00:00:00,Job,acct_1,27.0,BYN,tag_2
2025-07-10 00:00:00,Second work,acct_1,54.0,BYN,2th_work
2025-07-09 00:00:00,Job,acct_2,16.0,BYN,tag_8
2025-07-07 00:00:00,Job,acct_2,48.0,BYN,tag_8
2025-07-07 00:00:00,Debt return / Borrowed money,acct_2,26.0,BYN,tag_4
2025-07-06 00:00:00,Second work,acct_1,9.0,BYN,tag_4
2025-07-06 00:00:00,Second work,acct_1,154.0,BYN,2th_work
2025-07-04 00:00:00,Job,acct_1,18.0,BYN,tag_8
2025-07-04 00:00:00,Gift,acct_1,18.0,BYN,tag_4
2025-07-02 00:00:00,Job,acct_1,17.0,BYN,tag_8
2025-07-02 00:00:00,Job,acct_1,49.0,BYN,tag_2
2025-07-02 00:00:00,Job,acct_1,41.0,BYN,tag_1
2025-07-01 00:00:00,Second work,acct_1,347.0,BYN,2th_work
2025-07-01 00:00:00,Second work,acct_1,163.0,BYN,2th_work
2025-06-30 00:00:00,Job,acct_1,16.0,BYN,tag_8
2025-06-30 00:00:00,Job,acct_1,50.0,BYN,tag_1
2025-06-30 00:00:00,Job,acct_1,14.0,BYN,tag_8
2025-06-27 00:00:00,Job,acct_1,41.0,BYN,tag_8
2025-06-27 00:00:00,Job,acct_1,42.0,BYN,tag_2
2025-06-27 00:00:00,Job,acct_1,37.0,BYN,tag_1
2025-06-26 00:00:00,Second work,acct_1,77.0,BYN,2th_work
2025-06-25 00:00:00,Job,acct_1,27.0,BYN,tag_8
2025-06-25 00:00:00,Job,acct_1,14.0,BYN,tag_1
2025-06-23 00:00:00,Job,acct_1,50.0,BYN,tag_3
2025-06-22 00:00:00,Gift,acct_1,6.0,BYN,tag_4
2025-06-20 00:00:00,Job,acct_1,25.0,BYN,tag_8
2025-06-20 00:00:00,Job,acct_1,32.0,BYN,tag_2
2025-06-20 00:00:00,Job,acct_1,10.0,BYN,tag_1
2025-06-19 00:00:00,Debt return / Borrowed money,acct_1,27.0,BYN,tag_4
2025-06-19 00:00:00,Job,acct_1,27.0,BYN,tag_6
2025-06-18 00:00:00,Job,acct_1,34.0,BYN,tag_8
2025-06-17 00:00:00,Second work,acct_1,287.0,BYN,2th_work
2025-06-17 00:00:00,Job,acct_1,13.0,BYN,tag_6
2025-06-17 00:00:00,Job,acct_1,40.0,BYN,tag_1
2025-06-16 00:00:00,Job,acct_1,26.0,BYN,tag_3
2025-06-15 00:00:00,Second work,acct_1,218.0,BYN,2th_work
2025-06-13 00:00:00,Job,acct_1,35.0,BYN,tag_8
2025-06-13 00:00:00,Job,acct_1,33.0,BYN,tag_2
2025-06-13 00:00:00,Job,acct_1,23.0,BYN,tag_1
2025-06-12 00:00:00,Second work,acct_1,216.0,BYN,2th_work
2025-06-12 00:00:00,Job,acct_1,52.0,BYN,tag_6
2025-06-11 00:00:00,Job,acct_1,40.0,BYN,tag_8
2025-06-10 00:00:00,Job,acct_1,50.0,BYN,tag_6
2025-06-10 00:00:00,Job,acct_1,18.0,BYN,tag_1
2025-06-09 00:00:00,Second work,acct_1,172.0,BYN,2th_work
2025-06-09 00:00:00,Second work,acct_1,68.0,BYN,2th_work
2025-06-09 00:00:00,Job,acct_1,23.0,BYN,tag_3
2025-06-07 00:00:00,Second work,acct_1,114.0,BYN,2th_work
2025-06-06 00:00:00,Job,acct_1,42.0,BYN,tag_2
2025-06-06 00:00:00,Job,acct_1,25.0,BYN,tag_1
2025-06-05 00:00:00,Job,acct_1,13.0,BYN,tag_6
2025-06-03 00:00:00,Job,acct_1,16.0,BYN,tag_1
2025-06-02 00:00:00,Job,acct_1,34.0,BYN,tag_6
2025-06-02 00:00:00,Job,acct_1,39.0,BYN,tag_3
2025-06-02 00:00:00,Gift,acct_1,24.0,BYN,tag_4
2025-05-31 00:00:00,Job,acct_1,249.0,BYN,2th_work
2025-05-26 00:00:00,Job,acct_1,23.0,BYN,tag_4
2025-05-26 00:00:00,Job,acct_1,40.0,BYN,tag_4
2025-05-25 00:00:00,Gift,acct_2,67.0,BYN,tag_4
2025-05-23 00:00:00,Job,acct_2,20.0,BYN,tag_4
2025-05-22 00:00:00,Second work,acct_1,117.0,BYN,2th_work
2025-05-21 00:00:00,Job,acct_1,34.0,BYN,tag_4
2025-05-20 00:00:00,Job,acct_1,10.0,BYN,tag_4
2025-05-19 00:00:00,Job,acct_1,13.0,BYN,tag_4
2025-05-16 00:00:00,Job,acct_1,38.0,BYN,tag_4
2025-05-16 00:00:00,Cashback,acct_1,13.0,BYN,tag_4
2025-05-15 00:00:00,Second work,acct_1,204.0,BYN,2th_work
2025-05-14 00:00:00,Cashback,acct_1,11.0,BYN,tag_4
2025-05-13 00:00:00,Job,acct_1,15.0,BYN,tag_4
2025-05-09 00:00:00,Other,acct_1,502.0,BYN,tag_4
2025-05-08 00:00:00,Job,acct_1,45.0,BYN,tag_4
2025-05-07 00:00:00,Job,acct_1,30.0,BYN,tag_4
2025-05-06 00:00:00,Cashback,acct_1,7.0,BYN,tag_4
2025-05-06 00:00:00,Job,acct_1,37.0,BYN,tag_4
2025-05-06 00:00:00,Job,acct_1,46.0,BYN,tag_4
2025-05-03 00:00:00,Gift,acct_2,74.0,BYN,tag_4
